Linha,Ordem,Descrição da Ordem,Estabelecimento,Nome Estabelecimento,Equipamento,Nome Equipamento,Tag,Descrição do Tag,Tipo de Manutenção,Descrição do Tipo Manutenção,Manutenção,Descrição da Manutenção,Plano,Urgência,Criticidade,Prioridade,Data Manutenção,Data Termino,Previsão Término,Inicio mais cedo,Inicio mais tarde,Data Inicio Original,Data Reabertura,Data Realocação,Data Prevista Manutenção,Parada,Descrição da Parada,Projeto,Descrição do Projeto,Analista,Nome do Analista,Planejador,Nome do Planejador,Equipe,Nome da Equipe,Causa,Descrição Causa,Sintoma,Descrição Sintoma,Intervenção,Descrição Intervenção,Empresa,Ord. Investimento,Conta da Ordem,Conta de Investimento,Ordem de Origem,Tarefa de Origem,Valor Contador,Valor Contador Acumulado,Taxa Produção,Custo Hora,Tempo Parada,Horas Reportadas,Valor Material,Valor Mão de Obra,Valor GGF,Estado,Estado OM,Estado da Preditiva,Usuário de Criação,Ordem Impressa,Observação Encerramento OM
0000000238,1266622,SERVIÇO RECUPERAÇÃO DE CILINDROS SELAGEM EXTRUSORA,1,METALURGICA MOR S.A - MATRIZ,13.200/000,EXTRUSORA DE ALUMINIO,13200,EXTRUSORA DE ALUMINIO - P18,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,06/05/2025,,07/05/2025,06/05/2025,06/05/2025,06/05/2025,,,06/05/2025,,,,,,,PAULO MACHAD,PAULO ROBERTO MACHADO,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Requisitada,Não Iniciada,Ok,clauber - Clauber Junior Oliveira da Silva,no,
0000000239,1278410,Cons - cooler fan,1,METALURGICA MOR S.A - MATRIZ,35.070/000,EXTRUSÃO,13200,EXTRUSORA DE ALUMINIO - P18,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,24/07/2025,,25/07/2025,24/07/2025,24/07/2025,24/07/2025,,,24/07/2025,,,,,,,CLAUBER,CLAUBER JUNIOR OLIVEIRA,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Requisitada,Não Iniciada,Ok,jandre.ro - Jandre Alexandre Rozin,no,conserto de cooler fan json pela Cia dos Motores
0000000240,1282847,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,1,METALURGICA MOR S.A - MATRIZ,35.070/000,EXTRUSÃO,13200,EXTRUSORA DE ALUMINIO - P18,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,20/08/2025,,21/08/2025,20/08/2025,20/08/2025,20/08/2025,,,20/08/2025,,,,,,,CLAUBER,CLAUBER JUNIOR OLIVEIRA,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,jandre.ro - Jandre Alexandre Rozin,no,
0000000241,1283860,CONS - IHM Ami 13445,1,METALURGICA MOR S.A - MATRIZ,13.445/000,MÁQUINA AMI AUTOMATICA DE ESCADAS,13445,MAQUINA DE ESCADA DOMESTICA,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,26/08/2025,,27/08/2025,26/08/2025,26/08/2025,26/08/2025,,,26/08/2025,,,,,,,CLAUBER,CLAUBER JUNIOR OLIVEIRA,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,jandre.ro - Jandre Alexandre Rozin,no,conserto de IHM Ami 13445
0000000242,1229584,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,1,METALURGICA MOR S.A - MATRIZ,13.899/000,MOLDE CORPO MINI MOR,13899,MOLDE CORPO MINI MOR,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,27/08/2024,,28/08/2024,27/08/2024,27/08/2024,27/08/2024,,,27/08/2024,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"2976,6",0,0,Requisitada,Não Iniciada,Ok,pedro.bo - Pedro Ricardo Bortsmann Machado,no,
0000000243,1284082,Ajustes beto,1,METALURGICA MOR S.A - MATRIZ,13.977/000,"MOLDE BASE PRESSAO 1,9L",13977,"MOLDE BASE PRESSAO1,9L",12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,27/08/2025,,28/08/2025,27/08/2025,27/08/2025,27/08/2025,,,27/08/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,marcos.si - Marcos Alexandre Moura da Siqueira,no,
0000000244,1266409,Dificuldade p/ altura de molde e fechamento da maq,1,METALURGICA MOR S.A - MATRIZ,14.077/000,INJETORA Nº 38 HAITIAN 1300 T,14077_N39,INJETORA Nº 39 HAITIAN 1250 T,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,05/05/2025,,06/05/2025,05/05/2025,05/05/2025,05/05/2025,,,05/05/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,"Duas colunas da máquina não está se movimentando corretamente, outra coluna está com passagem deixando a máquina parada e a coluna se movimenta sozinha, onde encontramos dificuldade para fazer altura de molde e realizar o fechamento da máquina."
0000000245,1266752,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,1,METALURGICA MOR S.A - MATRIZ,14.077/000,INJETORA Nº 38 HAITIAN 1300 T,14077_N39,INJETORA Nº 39 HAITIAN 1250 T,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,07/05/2025,,08/05/2025,07/05/2025,07/05/2025,07/05/2025,,,07/05/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"2170,29",0,0,Requisitada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,
0000000246,1229886,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,1,METALURGICA MOR S.A - MATRIZ,14.372/000,MOLDE TAMPA CAIXA 12L,14372,MOLDE TAMPA CAIXA 12L,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,29/08/2024,,30/08/2024,29/08/2024,29/08/2024,29/08/2024,,,29/08/2024,,,,,,,ADM_MOLDES,ADMINISTRAÇÃO MOLDES,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"1361,25",0,0,Requisitada,Não Iniciada,Ok,pedro.bo - Pedro Ricardo Bortsmann Machado,no,
0000000247,1264692,SERVIÇO DE MANUTENÇÃO ELETRONICA,1,METALURGICA MOR S.A - MATRIZ,14.591/000,INJETORA Nº 27 HAITIAN 380 T,14591_N29,INJETORA Nº 29 HAITIAN 400 T,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,23/04/2025,,24/04/2025,23/04/2025,23/04/2025,23/04/2025,,,23/04/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"2105,4",0,0,Requisitada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,CONSERTO EM CLP AK668
0000000248,1257267,SERVIÇO TERCEIROS - CONJUNTO INJECAO,1,METALURGICA MOR S.A - MATRIZ,14.627/000,MAQ Nº 4 PAVAN ZANETTE MOLDAGEM SOPRO HDL30L/,14627_N04,MAQ Nº 4 PAVAN ZANETTE MOLDAGEM SOPRO,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,27/02/2025,,28/02/2025,27/02/2025,27/02/2025,27/02/2025,,,27/02/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,SERVIÇO DE USINAGEM CONSERTO DO CONJUNTO DE INJECAO
